Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
296;00.01;00.08;00.07;136.73;47.23.00;00.44;04.19;0.051;06.05;00.06;0,883333333;00.03;04.01;23.02;0;0;296,0.1,0.08,0.07,136.73,47.23,0.44,4.19,0.051,6.5,0.06,20.72,0.03,4.1,23.2,0,0
374;00.01;00.14;00.03;16.33;36.41.00;00.05;0;0.005;08.02;00.01;23.54;00.07;06.44;23.05;0;0;374,0.1,0.14,0.3,16.33,36.41,0.05,0,0.005,8.2,0.01,23.54,0.07,6.44,23.5,0,0
235;00.01;00.08;00.05;108.16.00;359.14.00;00.05;03.48;0.003;07.01;00.01;15.11;00.03;03.05;23.02;100;0;235,0.01,0.08,0.05,108.16,359.14,0.05,3.48,0.003,7.1,0.01,15.11,0.03,3.5,23.2,100,0
301;26.03.00;00.13;00.08;77.55.00;60.51.00;00.59;00.12;0.003;07.05;00.01;15.07;00.45;0,225;23.02;0;0;301,26.3,0.13,0.08,77.55,60.51,0.59,0.12,0.003,7.5,0.01,15.7,0.45,4.84,23.2,0,0
3420;01.15;00.08;0,045138889;120.82;1416.88;00.03;0;0.003;08.04;00.02;231.52.00;00.01;06.08;23.05;0;0;3420,1.15,0.08,0.65,120.82,1416.88,0.3,0,0.003,8.4,0.02,231.52,0.1,6.8,23.5,0,0
470;00.02;00.12;00.03;28.37.00;99.38.00;00.09;0;0.003;8;00.07;61.03.00;00.03;00.13;23.06;300;1;470,0.02,0.12,0.3,28.37,99.38,0.09,0,0.003,8,0.07,61.3,0.03,0.13,23.6,300,1
5210;02.06;00.08;0,04375;840.48.00;3320.37.00;0,303472222;0,133333333;00.06;07.08;00.06;38.61;00.05;28.03.00;23.07;151.84;0;5210,2.6,0.08,0.63,840.48,3320.37,6.77,2.72,0.06,7.8,0.06,38.61,0.05,28.03,23.7,151.84,0
403;02.01;00.08;0,059027778;68.59.00;54.68;00.05;00.25;0.003;08.01;00.01;0,750694444;00.11;19.28;23.07;400;0;403,2.1,0.08,0.85,68.59,54.68,0.05,0.25,0.003,8.1,0.01,17.61,0.11,19.28,23.7,400,0
1170;07.09;00.08;00.54;172.28.00;526.89;00.05;0,138194444;0.011;08.03;00.01;0,691666667;00.08;04.02;23.08;2100;0;1170,7.9,0.08,0.54,172.28,526.89,0.05,2.79,0.011,8.3,0.01,15.96,0.08,4.02,23.8,2100,0
340;0,441666667;00.08;00.41;111.67;30.32.00;00.05;00.24;0.032;8;00.01;24.86;00.06;15.06;23.05;663.04.00;0;340,9.96,0.08,0.41,111.67,30.32,0.05,0.24,0.032,8,0.01,24.86,0.06,15.06,23.5,663.4,0
3930;0,059027778;00.08;0,047916667;101.05.00;1009.03.00;00.01;0,147222222;0.031;07.09;00.01;118.03.00;00.06;0,681944444;23.05;481.05.00;0;3930,0.85,0.08,0.69,101.5,1009.03,0.1,2.92,0.031,7.9,0.01,118.03,0.06,15.82,23.5,481.5,0
2290;03.08;00.09;00.28;87.74;116.81;00.05;02.35;0,181944444;08.03;00.02;45.69;00.02;0,141666667;23.06;700;0;2290,3.8,0.09,0.28,87.74,116.81,0.05,2.35,0.262,8.3,0.02,45.69,0.2,2.84,23.6,700,0
1350;12.07;00.11;00.58;116.45.00;253;00.26;00.01;0.014;08.03;00.01;0,234722222;01.19;08.01;24.02.00;1200;0;1350,12.7,0.11,0.58,116.45,253,0.26,0.01,0.014,8.3,0.01,4.98,1.19,8.1,24.2,1200,0
721;00.01;00.08;0,057638889;74.38.00;74.06.00;00.05;00.09;0.015;08.03;00.01;0,44375;00.06;00.44;24;0;0;721,0.1,0.08,0.83,74.38,74.06,0.05,0.09,0.015,8.3,0.01,9.99,0.06,0.44,24,0,0
1004;00.02;00.08;0,043055556;114.66;119.29.00;00.27;0;0.015;08.03;00.01;54.31.00;00.07;04.38;23.07;1000;0;1004,0.02,0.08,0.62,114.66,119.29,0.27,0,0.015,8.3,0.01,54.31,0.07,4.38,23.7,1000,0
2710;09.05;00.08;0,056944444;154.34.00;438.41.00;00.19;00.01;0.022;08.04;00.01;29.78;00.44;0,502777778;23.06;5200;0;2710,9.5,0.08,0.82,154.34,438.41,0.19,0.01,0.022,8.4,0.01,29.78,0.44,11.64,23.6,5200,0
1061;01.05;00.31;01.33;133.08.00;350.43.00;01.13;00.26;0.003;08.03;01.13;52.27.00;00.26;07.41;23.09;2400;0;1061,1.5,0.31,1.33,133.8,350.43,1.13,0.26,0.003,8.3,1.13,52.27,0.26,7.41,23.9,2400,0
454;13.03;00.08;0,060416667;98.09.00;63.13.00;0,068055556;00.14;0.006;08.02;00.02;0,476388889;00.06;30.82;23.01;153.92;0;454,13.3,0.08,0.87,98.9,63.13,0.98,0.14,0.006,8.2,0.02,10.86,0.06,30.82,23.1,153.92,0
2190;03.07;00.08;0,053472222;289.08.00;983.95;00.05;00.22;0.018;08.03;00.01;65.54.00;00.06;14.04;23;556.02.00;0;2190,3.7,0.08,0.77,289.8,983.95,0.05,0.22,0.018,8.3,0.01,65.54,0.06,14.4,23,556.2,0
435;00.02;00.08;00.44;103.06.00;132.34.00;00.07;00.54;0.017;08.02;00.01;0,551388889;00.04;05.09;23.09;109.02.00;0;435,0.02,0.08,0.44,103.06,132.34,0.07,0.54,0.017,8.2,0.01,12.74,0.04,5.09,23.9,109.2,0
453;00.02;00.08;00.49;178.16.00;63.46.00;0,085416667;0;0.011;08.03;00.01;10.55;00.14;0,140972222;23.07;679.08.00;0;453,0.02,0.08,0.49,178.16,63.46,1.63,0,0.011,8.3,0.01,10.55,0.14,2.83,23.7,679.8,0
2110;28.03.00;00.01;00.33;425.51.00;909.17.00;01.32;00.08;0.035;8;00.01;58.52.00;00.05;11.07;23.03;2500;0;2110,28.3,0.1,0.33,425.51,909.17,1.32,0.08,0.035,8,0.01,58.52,0.05,11.07,23.3,2500,0
607;05.02;00.08;00.56;171.02.00;111.68;0,04375;01.09;0,234722222;08.01;00.01;16.38;00.05;09.15;23.01;1800;0;607,5.2,0.08,0.56,171.02,111.68,0.63,1.9,0.338,8.1,0.01,16.38,0.05,9.15,23.1,1800,0
2100;04.08;00.08;0,054861111;178.37.00;841.27.00;00.05;00.29;00.03;08.04;00.01;14.18;00.15;15.56;23;535.06.00;0;2100,4.8,0.08,0.79,178.37,841.27,0.05,0.29,0.03,8.4,0.01,14.18,0.15,15.56,23,535.6,0
1400;1;00.08;00.54;266.53.00;479.67;00.05;00.03;0.007;08.02;00.01;12.27;00.08;07.58;23.09;327;0;1400,1,0.08,0.54,266.53,479.67,0.05,0.03,0.007,8.2,0.01,12.27,0.08,7.58,23.9,327,0
1900;00.07;00.08;00.42;145.92;646.95;00.05;0,084027778;0.015;08.03;00.01;0,625694444;00.18;12.14;23.08;100;0;1900,0.7,0.08,0.42,145.92,646.95,0.05,1.61,0.015,8.3,0.01,14.61,0.18,12.14,23.8,100,0
